-, Mon, 03 Jan 2022 15:47:53 GMT, /api/users/sam1/favourites GET 
-, Mon, 03 Jan 2022 15:47:53 GMT, /api/users/sam1/favourites_show GET 
-, Mon, 03 Jan 2022 15:47:53 GMT, /api/users/sam1 GET 
-, Mon, 03 Jan 2022 15:47:55 GMT, /api/users GET 
524434, Mon, 03 Jan 2022 15:48:00 GMT, /api/movies/524434 GET 
585245, Mon, 03 Jan 2022 15:48:00 GMT, /api/movies/585245 GET 
-, Mon, 03 Jan 2022 15:48:12 GMT, /api/users POST 
-, Mon, 03 Jan 2022 15:48:12 GMT, /api/users/user1/favourites GET 
-, Mon, 03 Jan 2022 15:48:13 GMT, /api/users/user1/favourites_show GET 
-, Mon, 03 Jan 2022 15:48:13 GMT, /api/users/user1 GET 
